,website_name,text
2193,yelp,This was my first and only Vegas buffet and it did not disappoint.
2195,yelp,"Plus, it's only 8 bucks."
2206,yelp,"The wontons were thin, not thick and chewy, almost melt in your mouth."
2215,yelp,This is the place where I first had pho and it was amazing!!
2217,yelp,It was just not a fun experience.
2233,yelp,Would come back again if I had a sushi craving while in Vegas.
2234,yelp,High-quality chicken on the chicken Caesar salad.
2236,yelp,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!"
2249,yelp,OMG I felt like I had never eaten Thai food until this dish.
2254,yelp,I will be back many times soon.
2255,yelp,There was a warm feeling with the service and I felt like their guest for a special treat.
2261,yelp,What I really like there is the crepe station.
2276,yelp,So they performed.
2282,yelp,They know how to make them here.
2283,yelp,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!
2296,yelp,"Back to nice BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways."
2331,yelp,"And considering the two of us left there very full and happy for about $20, you just can't go wrong."
2340,yelp,You won't be disappointed.
2341,yelp,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable."
2344,yelp,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor."
2353,yelp,We walked away stuffed and happy about our first Vegas buffet experience.
2354,yelp,"Point your finger at any item on the menu, order it and you won't be disappointed."
2361,yelp,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.
2362,yelp,Omelets are to die for!
2364,yelp,The grilled chicken was so tender and yellow from the saffron seasoning.
2373,yelp,The portion was huge!
2374,yelp,The goat taco didn't skimp on the meat and wow what FLAVOR!
2376,yelp,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!
2377,yelp,He deserves 5 stars.
2378,yelp,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"
2380,yelp,I was seated immediately.
2387,yelp,This was my first time and I can't wait until the next.
2390,yelp,Food was so gooodd.
2396,yelp,I could eat their bruschetta all day it is devine.
