,website_name,text,true_sentiment_positive,predicted_sentiment_positive
1772,yelp,"seems like a nice quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,1
1774,yelp,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,1
1777,yelp,Waiter was a jerk.,0,1
1778,yelp,I wasn't really impressed with Strip Steak.,0,1
1796,yelp,The service here is fair at best.,0,1
1800,yelp,Won't ever go here again.,0,1
1802,yelp,The service was poor and thats being nice.,0,1
1805,yelp,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,1
1808,yelp,This place deserves one star and 90% has to do with the food.,0,1
1814,yelp,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,1
1817,yelp,Must have been an off night at this place.,0,1
1824,yelp,The waiter wasn't helpful or friendly and rarely checked on us.,0,1
1827,yelp,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,1
1832,yelp,And the beans and rice were mediocre at best.,0,1
1845,yelp,Best of luck to the rude and non-customer service focused new management.,0,1
1859,yelp,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,1
1873,yelp,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,1
1878,yelp,We watched our waiter pay a lot more attention to other tables and ignore us.,0,1
1881,yelp,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,1
1908,yelp,Overpriced for what you are getting.,0,1
1929,yelp,It was pretty gross!,0,1
1942,yelp,I was so insulted.,0,1
1946,yelp,The bus boy on the other hand was so rude.,0,1
1958,yelp,I dressed up to be treated so rudely!,0,1
1959,yelp,I consider this theft.,0,1
1961,yelp,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,1
1969,yelp,"Very, very sad.",0,1
1970,yelp,Con: spotty service.,0,1
1972,yelp,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,1
1977,yelp,For that price I can think of a few place I would have much rather gone.,0,1
1980,yelp,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,1
1989,yelp,I'm super pissd.,0,1
1990,yelp,"And the drinks are WEAK, people!",0,1
2163,yelp,The only redeeming quality of the restaurant was that it was very inexpensive.,1,0
2180,yelp,"If you want healthy authentic or ethic food, try this place.",1,0
2193,yelp,This was my first and only Vegas buffet and it did not disappoint.,1,0
2206,yelp,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,0
2215,yelp,This is the place where I first had pho and it was amazing!!,1,0
2217,yelp,It was just not a fun experience.,1,0
2225,yelp,The lighting is just dark enough to set the mood.,1,0
2233,yelp,Would come back again if I had a sushi craving while in Vegas.,1,0
2234,yelp,High-quality chicken on the chicken Caesar salad.,1,0
2235,yelp,We were promptly greeted and seated.,1,0
2236,yelp,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,0
2249,yelp,OMG I felt like I had never eaten Thai food until this dish.,1,0
2254,yelp,I will be back many times soon.,1,0
2255,yelp,There was a warm feeling with the service and I felt like their guest for a special treat.,1,0
2282,yelp,They know how to make them here.,1,0
2283,yelp,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,0
2291,yelp,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,0
2296,yelp,"Back to nice BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,0
2327,yelp,The black eyed peas and sweet potatoes... UNREAL!,1,0
2329,yelp,"I have eaten here multiple times, and each time the food was delicious.",1,0
2331,yelp,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,0
2336,yelp,I didn't know pulled pork could be soooo delicious.,1,0
2340,yelp,You won't be disappointed.,1,0
2341,yelp,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,0
2344,yelp,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,0
2347,yelp,"This was my first crawfish experience, and it was delicious!",1,0
2353,yelp,We walked away stuffed and happy about our first Vegas buffet experience.,1,0
2354,yelp,"Point your finger at any item on the menu, order it and you won't be disappointed.",1,0
2361,yelp,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,0
2362,yelp,Omelets are to die for!,1,0
2364,yelp,The grilled chicken was so tender and yellow from the saffron seasoning.,1,0
2365,yelp,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,0
2373,yelp,The portion was huge!,1,0
2374,yelp,The goat taco didn't skimp on the meat and wow what FLAVOR!,1,0
2378,yelp,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,0
2380,yelp,I was seated immediately.,1,0
2387,yelp,This was my first time and I can't wait until the next.,1,0
2390,yelp,Food was so gooodd.,1,0
2396,yelp,I could eat their bruschetta all day it is devine.,1,0
